diff_id,true_cwes,predicted_cwes,top1_hit,top3_hit,top5_hit,top10_hit,reciprocal_rank,true_cwe_in_rules
0976f8f7131975a1ae29b2724069a301a870a46d,['CWE-22'],"['CWE-78', 'CWE-327', 'CWE-570', 'CWE-601', 'CWE-942', 'CWE-79', 'CWE-208', 'CWE-22', 'CWE-584', 'CWE-90']",False,False,False,True,0.125,True
aa87d67258a5b6742fc53d06c7bdac0f643bc9f1,['CWE-22'],[],False,False,False,False,0.0,True
bf9c4ba9e81fd066b4d133eaddf2da2c6b3005aa,['CWE-19'],[],False,False,False,False,0.0,False
17e5370d948e94135338111363f97cc9d513c92a,['CWE-119'],"['CWE-327', 'CWE-670', 'CWE-601', 'CWE-584', 'CWE-326', 'CWE-523', 'CWE-489', 'CWE-208', 'CWE-95', 'CWE-685']",False,False,False,False,0.0,False
963e21212bddd86e4cc2c661f38e09ebf6491b44,['CWE-264'],[],False,False,False,False,0.0,False
71c243035e169149f6448dc50b085c8781d39779,['CWE-20'],"['CWE-22', 'CWE-327', 'CWE-561', 'CWE-601', 'CWE-942', 'CWE-352', 'CWE-1275', 'CWE-571', 'CWE-315', 'CWE-643']",False,False,False,False,0.0,True
bf5040f75e71e25af0b9b5c2a9c098c5933d4acc,['CWE-78'],"['CWE-78', 'CWE-489', 'CWE-628', 'CWE-22', 'CWE-685', 'CWE-601', 'CWE-584', 'CWE-390', 'CWE-942', 'CWE-95']",True,True,True,True,1.0,True
7c9205aafd495ae053b899ad900cdd40913566a2,['CWE-78'],[],False,False,False,False,0.0,True
a8dc5a6d760d00f78353c6943f30ea45756ecc9c,['CWE-200'],"['CWE-79', 'CWE-601', 'CWE-614', 'CWE-1275', 'CWE-208', 'CWE-74', 'CWE-1004', 'CWE-327', 'CWE-352', 'CWE-628']",False,False,False,False,0.0,True
f7cc8f7cba3c4591dc894d772655e0a060340163,['CWE-200'],[],False,False,False,False,0.0,True
245ab23f3afdc8fce9443e5b1a01fa39bd62e0e5,['CWE-79'],"['CWE-400', 'CWE-79', 'CWE-116', 'CWE-601', 'CWE-89', 'CWE-502', 'CWE-685', 'CWE-561', 'CWE-208', 'CWE-1275']",False,True,True,True,0.5,True
bc0f896a47d7b2dcd6f9fc1fff88f6a25b248f8a,['CWE-119'],[],False,False,False,False,0.0,False
8f0c8f731190f761180bed827d07b7a740d8555b,['CWE-125'],[],False,False,False,False,0.0,False
ab52630d0644e42a75eb88b78b9a9d7438a6fbeb,['CWE-125'],[],False,False,False,False,0.0,False
d537ab0ff9767ef024f26246899728f0116b1ec3,['CWE-255'],[],False,False,False,False,0.0,False
ac2052ebc84c45709ab5f0f25e685bf656ce79bc,['CWE-79'],[],False,False,False,False,0.0,True
255449c1ee61c14778658caae8c430fa4d76afd6,['CWE-79'],[],False,False,False,False,0.0,True
9c9d9c3acf0dde791ff7d336078ecfd14b17315e,['CWE-20'],[],False,False,False,False,0.0,True
97a981a7660154027df1da4f8a2cc314e701d037,['CWE-79'],[],False,False,False,False,0.0,True
30c0fed8de4f859cb8b4bb7468069db9aed331ad,['CWE-20'],"['CWE-79', 'CWE-685', 'CWE-584', 'CWE-942', 'CWE-390', 'CWE-628', 'CWE-78', 'CWE-776', 'CWE-352', 'CWE-1004']",False,False,False,False,0.0,True
3bb50fec693d7d388bca7e47cd9f63a6e4e29040,['CWE-79'],[],False,False,False,False,0.0,True
d67ac06d31a92a014732cf538988e05d4ffcec9d,['CWE-79'],"['CWE-78', 'CWE-942', 'CWE-22', 'CWE-601', 'CWE-1004', 'CWE-79', 'CWE-327', 'CWE-208', 'CWE-614', 'CWE-400']",False,False,False,True,0.16666666666666666,True
8a31fac515a8883aa524f87cc5b60300d2dfb125,['CWE-79'],"['CWE-79', 'CWE-670', 'CWE-584', 'CWE-78', 'CWE-116', 'CWE-570', 'CWE-327', 'CWE-523', 'CWE-628', 'CWE-601']",True,True,True,True,1.0,True
13ad3b7170da6b78aae6e9464ebb2270e4da31da,['CWE-79'],"['CWE-601', 'CWE-79', 'CWE-327', 'CWE-584', 'CWE-116', 'CWE-685', 'CWE-942', 'CWE-208', 'CWE-179', 'CWE-523']",False,True,True,True,0.5,True
2425446431aec74c8cf818dffb3f599dd6c7baad,['CWE-347'],"['CWE-942', 'CWE-614', 'CWE-208', 'CWE-1004', 'CWE-704', 'CWE-400', 'CWE-601', 'CWE-78', 'CWE-561', 'CWE-200']",False,False,False,False,0.0,True
1149068b924ad7a30e165a9cb90d2b791432f267,['CWE-863'],[],False,False,False,False,0.0,False
0f1af73c0ffadbe597405d535ff4fcd5812f1e30,['CWE-863'],"['CWE-352', 'CWE-79', 'CWE-89', 'CWE-601', 'CWE-384', 'CWE-208', 'CWE-563', 'CWE-829', 'CWE-687', 'CWE-942']",False,False,False,False,0.0,False
58f38c74ae1f5917db0fc0ed3fb0efe7b7df791e,['CWE-20'],"['CWE-942', 'CWE-78', 'CWE-685', 'CWE-200', 'CWE-601', 'CWE-584', 'CWE-628', 'CWE-79', 'CWE-22', 'CWE-497']",False,False,False,False,0.0,True
1081156f134a5c71bc38ab4a3687a900cb35ba14,['CWE-200'],[],False,False,False,False,0.0,True
a97b83babc288ac6409f6a5249ee72dee4f30cbd,['CWE-22'],"['CWE-22', 'CWE-352', 'CWE-116', 'CWE-219', 'CWE-78', 'CWE-483', 'CWE-502', 'CWE-563', 'CWE-561', 'CWE-23']",True,True,True,True,1.0,True
4caf1090abcc9868243d1ba9d002bc610e7450be,['CWE-89'],"['CWE-685', 'CWE-571', 'CWE-208', 'CWE-400', 'CWE-561', 'CWE-79', 'CWE-89', 'CWE-78', 'CWE-219', 'CWE-80']",False,False,False,True,0.14285714285714285,True
608e3aab06c36832672a286a6df6f215e3e7c56e,['CWE-311'],[],False,False,False,False,0.0,False
eca500880dd1b7a448b7d91a184eb8f43bb187c7,['CWE-79'],"['CWE-400', 'CWE-561', 'CWE-483', 'CWE-193', 'CWE-563', 'CWE-685', 'CWE-79', 'CWE-758', 'CWE-571', 'CWE-80']",False,False,False,True,0.14285714285714285,True
0ac69fbaae72b2845772f8e49e6de3358bee035c,['CWE-89'],[],False,False,False,False,0.0,True
ce6490f3e98a57f5e1836b5536e147ae68bedbf1,['CWE-22'],[],False,False,False,False,0.0,True
d0ad9ecf3282cce84f1bbee4ee65988bdb3ae0bb,['CWE-79'],[],False,False,False,False,0.0,True
31a13eaaeaec742d520e14dcb5f3b024413909bf,['CWE-78'],"['CWE-78', 'CWE-22', 'CWE-502', 'CWE-400', 'CWE-20', 'CWE-88', 'CWE-193', 'CWE-563', 'CWE-327', 'CWE-561']",True,True,True,True,1.0,True
d9abaae384b198db1095735ad9c1c73d7b890a0d,['CWE-94'],[],False,False,False,False,0.0,True
b748fe77a87749d95876028eda8e759109be4c73,['CWE-94'],"['CWE-78', 'CWE-563', 'CWE-835', 'CWE-79', 'CWE-676', 'CWE-942', 'CWE-502', 'CWE-116', 'CWE-22', 'CWE-483']",False,False,False,False,0.0,True
076a1f97c29ab3857b5801bf1d1c0991a432dfc3,['CWE-79'],[],False,False,False,False,0.0,True
c663ea818390ff260c96e0a232380b670773a942,['CWE-119'],"['CWE-78', 'CWE-193', 'CWE-400', 'CWE-352', 'CWE-384', 'CWE-483', 'CWE-601', 'CWE-20', 'CWE-835', 'CWE-628']",False,False,False,False,0.0,False
eed510ce355ba82834ed082bcd27bb5bbb080c2a,['CWE-502'],"['CWE-400', 'CWE-571', 'CWE-193', 'CWE-502', 'CWE-80', 'CWE-338', 'CWE-676', 'CWE-116', 'CWE-483', 'CWE-829']",False,False,True,True,0.25,True
806da342c96d9bc1d904f7413c7537f741d8f5f7,['CWE-502'],[],False,False,False,False,0.0,True
2a66fb8fbfa8255f4939b874057e6a947e4c8bf0,['CWE-284'],[],False,False,False,False,0.0,False
18d80c6f0bbe037b216145d10904fe0a9e2a9f01,['CWE-284'],"['CWE-942', 'CWE-200', 'CWE-400', 'CWE-502', 'CWE-483', 'CWE-22', 'CWE-20', 'CWE-352', 'CWE-319', 'CWE-640']",False,False,False,False,0.0,False
1b6c78820be7803be5e38a01301a76cc05a93ff3,['CWE-200'],"['CWE-400', 'CWE-22', 'CWE-835', 'CWE-200', 'CWE-79', 'CWE-78', 'CWE-1004', 'CWE-563', 'CWE-116', 'CWE-327']",False,False,True,True,0.25,True
b7bcd6581b1586b77ebd381b02c4b32d377859a7,['CWE-20'],[],False,False,False,False,0.0,True
b04fb3aced2d038f2671882ce88f8e56ac8ae205,['CWE-79'],"['CWE-352', 'CWE-22', 'CWE-400', 'CWE-327', 'CWE-79', 'CWE-1004', 'CWE-918', 'CWE-193', 'CWE-563', 'CWE-483']",False,False,True,True,0.2,True
ffc59303905d507e7d5813300da8b7b94bfa871b,['CWE-22'],[],False,False,False,False,0.0,True
7ba451de175ac1ee1c05ee872cca92e4e3a8d13f,['CWE-79'],"['CWE-79', 'CWE-400', 'CWE-502', 'CWE-20', 'CWE-193', 'CWE-116', 'CWE-571', 'CWE-327', 'CWE-483', 'CWE-758']",True,True,True,True,1.0,True
35ea2aaab73f9ca088fcaad4015f7bef94d9fd90,['CWE-400'],"['CWE-942', 'CWE-22', 'CWE-571', 'CWE-78', 'CWE-400', 'CWE-704', 'CWE-219', 'CWE-918', 'CWE-79', 'CWE-200']",False,False,True,True,0.2,True
4d64bbcf7d3ead8c658e16db5742c03d590c61eb,['CWE-20'],[],False,False,False,False,0.0,True
3d447c5a335844b25faec04b1132dbc721f9c8f6,['CWE-79'],[],False,False,False,False,0.0,True
a33206ada7283d6cc381e14f6bcb8f7e07bd2a1b,['CWE-79'],"['CWE-79', 'CWE-571', 'CWE-400', 'CWE-835', 'CWE-942', 'CWE-563', 'CWE-561', 'CWE-193', 'CWE-502', 'CWE-116']",True,True,True,True,1.0,True
7b28116c60a9f1efea5ed99869fbc2a0e78fa3bc,['CWE-79'],"['CWE-79', 'CWE-942', 'CWE-835', 'CWE-571', 'CWE-1004', 'CWE-193', 'CWE-758', 'CWE-563', 'CWE-400', 'CWE-502']",True,True,True,True,1.0,True
